代號,名稱,年/月,營業利益率,稅後淨利率,每股盈餘,ROE(A)－稅後,速動比率,負債比率,來自營運之現金流量,營收成長率,股利殖利率,現金股利率,普通股每股現金股利（盈餘及公積）,交易所主產業代碼,利息保障倍數,總資產週轉次數,存貨週轉率（次）,平均收帳天數,平均售貨天數
1101,台泥,2019/12,24.56,20.73,4.43,12.54,161.88,43.27,"28,871,269",-1.45,6.85,5.71,2.5,M1100,15.84,0.35,9.87,116.88,36.97
1102,亞泥,2019/12,23.22,23.41,5.56,13.54,106.36,43,"37,271,901",10.95,6.26,6.26,3,M1100,16.6,0.33,7.89,86.98,46.27
1103,嘉泥,2019/12,-23.08,74.77,2.02,3.67,191.29,38.85,"-161,520",-9.96,4.46,4.46,1,M1100,8.85,0.05,4.56,52.03,80.03
1104,環泥,2019/12,3.41,22.81,1.74,6.35,103.16,22.64,"749,877",4.7,5.1,5.1,1,M1100,37.43,0.22,15.84,90.97,23.05
1108,幸福,2019/12,2.09,1.23,0.11,1.07,78.68,41.04,"262,747",12.04,1.79,1.79,0.15,M1100,2.36,0.51,0.96,73.85,378.9
1109,信大,2019/12,26.42,18.65,2.82,17.87,212.68,22.89,"2,138,329",16.74,5.47,5.47,1.1,M1100,113.98,0.73,6.37,119.95,57.34
1110,東泥,2019/12,-0.54,2.1,0.06,0.39,133.59,12.01,"177,772",-5.44,0.57,0.57,0.1,M1100,9.73,0.17,2.48,89.79,147.1
1201,味全,2019/12,2.69,6.68,2.67,20.55,68.42,63.64,"1,428,433",4.07,5.32,5.32,1.33,M1200,10,1,11.11,50.08,32.84
1203,味王,2019/12,14.61,11.35,1.92,11.86,147.94,34.05,"445,126",3.98,3.7,3.7,1,M1200,67.3,0.69,2.79,28.22,130.62
1210,大成,2019/12,4.78,3.82,2.93,12.78,46.12,48.57,"5,521,975",7.35,5.04,5.04,2.2,M1200,10.45,1.73,8.4,28.5,43.44
1213,大飲,2019/12,-8.55,-9.9,-0.76,-7.37,149.29,55.5,"-67,444",-26.74,0,0,0,M1200,-3.24,0.33,11.43,73.45,31.92
1215,卜蜂,2019/12,6.89,8.61,5.46,22.95,46.85,53.74,"1,960,317",-0.29,6.04,6.04,4,M1200,28.56,1.23,12.82,40.05,28.47
1216,統一,2019/12,6.61,6.36,3.35,16.55,76.8,63.56,"58,871,291",3.83,3.37,3.37,2.5,M1200,15.16,1.01,8.05,14.6,45.34
1217,愛之味,2019/12,2.95,1.46,0.1,1.03,40.65,50.07,"213,163",3.39,0,0,0,M1200,1.53,0.35,4.75,50.07,76.91
1218,泰山,2019/12,2,7.28,1.2,8.95,135.51,28.43,"361,193",1.25,4.07,4.07,0.9,M1200,33.22,0.89,10.12,48.45,36.05
1219,福壽,2019/12,0.27,1.15,0.63,3.64,87.21,55.7,"-111,569",4.69,2.16,2.16,0.4,M1200,3.95,1.4,6.95,39.48,52.48
1220,台榮,2019/12,6.1,4.7,0.71,5.72,288.08,21.31,"188,357",8.56,5.69,5.69,0.6,M1200,41.04,0.95,4.95,86.61,73.74
1225,福懋油,2019/12,4.19,3.71,1.55,10.91,123.22,52.87,"411,734",-5.31,3.75,3.75,1.3,M1200,15.1,1.5,8.56,48.64,42.64
1227,佳格,2019/12,14.15,11.05,3.76,20.94,174.71,33.5,"5,026,474",14.36,3.81,3.81,2.65,M1200,98.03,1.26,5.51,73.62,66.19
1229,聯華,2019/12,11.55,38.04,2.51,10.11,51.48,19.15,"2,821,391",62.25,8.66,4.33,1.6,M1200,55.63,0.22,6.1,48.84,59.8
1231,聯華食,2019/12,6.87,6.11,3,14.8,80.09,51.06,"250,589",5.82,5.02,3.82,1.6,M1200,23.39,1.19,4.89,72.13,74.67
1232,大統益,2019/12,7.18,5.83,6.09,24.75,204.07,28.86,"1,122,600",1.19,4.13,4.13,5,M1200,120.69,3.04,9.24,21.16,39.5
1233,天仁,2019/12,7.94,6.98,1.73,9.73,90.68,35.07,"313,431",2.48,4,4,1.6,M1200,33.42,0.96,3.17,41.91,115.01
1234,黑松,2019/12,5.2,9.26,2.11,4.77,89.4,21.03,"1,222,270",2.74,5.22,5.22,1.7,M1200,57.28,0.4,1.27,28.6,287.69
1235,興泰,2019/12,24.27,75.9,0.49,1.22,202.34,38.58,"41,647",7.16,5.13,2.56,0.55,M1200,2.51,0.01,2.3,32.8,159.03
1236,宏亞,2019/12,0.05,0.85,0.15,0.9,95.67,38.43,"140,706",-5.47,2.19,2.19,0.3,M1200,4.64,0.67,5.29,85.45,69.05
